cik,institution,last_accesion_number,last_report_period,last_filing_date,total_value,total_holding,updated_on
1250731,CHAI TRUST CO LLC,0000905148-24-000696,2023-12-31,2024-02-14,1192553238,17,2024-04-04 03:42:30.223997
1679543,Phoenix Holdings Ltd.,0001178913-24-000550,2023-12-31,2024-02-14,6044865263,482,2024-04-04 03:42:30.223997
1464811,"B. Riley Wealth Advisors, Inc.",0001213900-24-022861,2023-12-31,2024-03-15,3714157530,1386,2024-04-04 03:42:30.223997
1815183,"Fortis Group Advisors, LLC",0001815183-24-000001,2023-12-31,2024-03-04,403932746,1292,2024-04-04 03:42:30.223997
2002843,Gilfoyle & Co LLC,0002002843-24-000002,2023-12-31,2024-01-23,200000,6,2024-04-04 03:42:30.223997
2002654,"PFS Partners, LLC",0002002654-24-000001,2023-12-31,2024-01-29,146256694,476,2024-04-04 03:42:30.223997
1449434,"Apollo Management Holdings, L.P.",0001449434-24-000002,2023-12-31,2024-02-14,10004612564,69,2024-04-04 03:42:30.223997
1041773,DIMENSION CAPITAL MANAGEMENT LLC,0001172661-24-001183,2023-12-31,2024-02-14,480797644,111,2024-04-04 03:42:30.223997
1825034,Euclidean Capital LLC,0001012975-24-000089,2023-12-31,2024-02-14,888536292,13,2024-04-04 03:42:30.223997
902219,WELLINGTON MANAGEMENT GROUP LLP,0000902219-24-000290,2023-12-31,2024-02-12,535768595648,6778,2024-04-04 03:42:30.223997
1811827,"ARQ WEALTH ADVISORS, LLC",0001085146-24-001542,2023-12-31,2024-02-27,168035278,66,2024-04-04 03:42:30.223997
1098151,FIDELITY D & D BANCORP INC,0001437749-24-001263,2023-12-31,2024-01-12,128609718,168,2024-04-04 03:42:30.223997
1727783,Neo Ivy Capital Management,0001727783-24-000002,2023-12-31,2024-02-26,44740,276,2024-04-04 03:42:30.223997
748054,AMERICAN CENTURY COMPANIES INC,0001085146-24-001134,2023-12-31,2024-02-13,145452824257,2875,2024-04-04 03:42:30.223997
1542143,"Modera Wealth Management, LLC",0001725547-24-000557,2023-12-31,2024-02-14,6044406135,524,2024-04-04 03:42:30.223997
1815355,"Scarborough Advisors, LLC",0001815355-24-000007,2023-12-31,2024-02-22,25053072,412,2024-04-04 03:42:30.223997
1846995,"Alamar Capital Management, LLC",0001085146-24-001562,2023-12-31,2024-03-06,126213465,65,2024-04-04 03:42:30.223997
1967261,"Harvest Investment Advisors, LLC",0001967261-24-000001,2023-12-31,2024-02-14,124603622,52,2024-04-04 03:42:30.223997
1929139,"Quantum Financial Advisors, LLC",0001085146-24-000087,2023-12-31,2024-01-09,409992109,123,2024-04-04 03:42:30.223997
1569758,Carmignac Gestion,0000945621-24-000227,2023-12-31,2024-02-13,5954950438,144,2024-04-04 03:42:30.223997
1941369,"ASB Consultores, LLC",0001941369-24-000001,2023-12-31,2024-02-13,299746169,114,2024-04-04 03:42:30.223997
1484153,Autonomy Capital (Jersey) L.P.,0001484153-24-000001,2023-12-31,2024-02-14,54805724,14,2024-04-04 03:42:30.223997
1035463,BAR HARBOR WEALTH MANAGEMENT,0001035463-24-000001,2023-12-31,2024-01-17,1341467204,255,2024-04-04 03:42:30.223997
1950556,Dakota Community Bank & Trust NA,0001950556-24-000001,2023-12-31,2024-01-10,17849775,122,2024-04-04 03:42:30.223997
1455495,"IMA Wealth, Inc.",0001455495-24-000001,2023-12-31,2024-02-05,199754775,67,2024-04-04 03:42:30.223997
2001766,Pantechnicon Advisors LLP,0002001766-24-000001,2023-12-31,2024-02-14,138080510,13,2024-04-04 03:42:30.223997
1710593,"Savoir Faire Capital Management, L.P.",0001085146-24-000801,2023-12-31,2024-02-07,230214499,50,2024-04-04 03:42:30.223997
1904067,STRATEGIC VALUE BANK PARTNERS LLC,0001420506-24-000310,2023-12-31,2024-02-13,204720715,24,2024-04-04 03:42:30.223997
1755028,Yaupon Capital Management LP,0001085146-24-001287,2023-12-31,2024-02-14,1207757973,100,2024-04-04 03:42:30.223997
1633674,AllSquare Wealth Management LLC,0001633674-24-000001,2023-12-31,2024-02-14,162981456,536,2024-04-04 03:42:30.223997
1965871,"Hanwha Asset Management Co., Ltd.",0000950123-24-000893,2023-12-31,2024-02-07,161220790,1,2024-04-04 03:42:30.223997
1909128,Obsidian Personal Planning Solutions LLC,0001986152-24-000004,2023-12-31,2024-02-01,131398774,81,2024-04-04 03:42:30.223997
1134008,TRUST CO OF VERMONT,0001134008-24-000001,2023-12-31,2024-03-08,1499637223,1124,2024-04-04 03:42:30.223997
1633716,USA FINANCIAL FORMULAS,0000905729-24-000029,2023-12-31,2024-02-07,571629904,333,2024-04-04 03:42:30.223997
1843587,2Xideas AG,0001214659-24-002619,2023-12-31,2024-02-14,932847296,52,2024-04-04 03:42:30.223997
1535602,BANQUE PICTET & CIE SA,0001535602-24-000002,2023-12-31,2024-02-09,12083602407,349,2024-04-04 03:42:30.223997
1157519,OKABENA INVESTMENT SERVICES INC,0000897101-24-000077,2023-12-31,2024-02-14,256821004,98,2024-04-04 03:42:30.223997
1540569,"EP Wealth Advisors, LLC",0001398344-24-004748,2023-12-31,2024-02-28,7840373097,814,2024-04-04 03:42:30.223997
948046,DEUTSCHE BANK AG\,0000948046-24-000036,2023-12-31,2024-02-14,196022278358,13540,2024-04-04 03:42:30.223997
1316397,Aurora Investment Counsel,0001062993-24-003513,2023-12-31,2024-02-20,153743413,112,2024-04-04 03:42:30.223997
1276755,CHELSEA COUNSEL CO,0001420506-24-000514,2023-12-31,2024-02-21,188519277,161,2024-04-04 03:42:30.223997
884548,CONNORS INVESTOR SERVICES INC,0000884548-24-000001,2023-12-31,2024-02-14,890421824,156,2024-04-04 03:42:30.223997
1315421,"Graham Capital Management, L.P.",0001041062-24-000063,2023-12-31,2024-02-14,4514755178,960,2024-04-04 03:42:30.223997
1411133,KBC Group NV,0000950123-24-001689,2023-12-31,2024-02-13,28206904,2517,2024-04-04 03:42:30.223997
1396318,PUBLIC SECTOR PENSION INVESTMENT BOARD,0000950123-24-002115,2023-12-31,2024-02-14,13415789109,1268,2024-04-04 03:42:30.223997
1597298,"Verity Asset Management, Inc.",0001597298-24-000001,2023-12-31,2024-02-08,156757952,188,2024-04-04 03:42:30.223997
1058854,CANNELL CAPITAL LLC,0001941040-24-000122,2023-12-31,2024-02-14,461208339,57,2024-04-04 03:42:30.223997
1911348,"JOSH ARNOLD INVESTMENT CONSULTANT, LLC",0001911348-24-000001,2023-12-31,2024-02-07,104673910,24,2024-04-04 03:42:30.223997
1105863,AUXIER ASSET MANAGEMENT,0001105863-24-000001,2023-12-31,2024-02-22,618114925,173,2024-04-04 03:42:30.223997
2001461,Allen Mooney & Barnes Investment Advisors LLC,0001213900-24-005135,2023-12-31,2024-01-22,525803393,154,2024-04-04 03:42:30.223997
872080,BRAUN STACEY ASSOCIATES INC,0001213900-24-005691,2023-12-31,2024-01-23,2236814156,207,2024-04-04 03:42:30.223997
1912970,Brown Shipley& Co Ltd,0001912970-24-000001,2023-12-31,2024-03-07,201919103,123317,2024-04-04 03:42:30.223997
901541,COMERICA BANK,0000950123-24-002242,2023-12-31,2024-02-14,21712580782,9917,2024-04-04 03:42:30.223997
1581298,Carlson Capital Management,0001581298-24-000001,2023-12-31,2024-01-16,1948603625,205,2024-04-04 03:42:30.223997
2000490,"GUNN & Co INVESTMENT MANAGEMENT, INC.",0002000490-24-000001,2023-12-31,2024-02-06,1517388,141,2024-04-04 03:42:30.223997
1802533,"HOHIMER WEALTH MANAGEMENT, LLC",0001802533-24-000001,2023-12-31,2024-02-09,394510766,195,2024-04-04 03:42:30.223997
1867587,"Invst, LLC",0001867587-24-000001,2023-12-31,2024-02-07,782353388,221,2024-04-04 03:42:30.223997
1661762,Oak Grove Capital LLC,0001580642-24-000933,2023-12-31,2024-02-12,375932557,142,2024-04-04 03:42:30.223997
1887409,Revisor Wealth Management LLC,0001754960-24-000014,2023-12-31,2024-01-10,86875431,130,2024-04-04 03:42:30.223997
1963732,"Rooted Wealth Advisors, Inc.",0001963732-24-000002,2023-12-31,2024-02-07,191237,74,2024-04-04 03:42:30.223997
1426319,Spears Abacus Advisors LLC,0000950123-24-001972,2023-12-31,2024-02-14,1255948520,214,2024-04-04 03:42:30.223997
1005817,TOMPKINS FINANCIAL CORP,0001999371-24-000170,2023-12-31,2024-01-08,825588850,848,2024-04-04 03:42:30.223997
1596468,Almitas Capital LLC,0001596468-24-000005,2023-12-31,2024-02-14,290239743,116,2024-04-04 03:42:30.223997
1581655,"Alpine Global Management, LLC",0001581655-24-000001,2023-12-31,2024-02-12,312746247,173,2024-04-04 03:42:30.223997
1298088,"CIBC Private Wealth Group, LLC",0001298088-24-000004,2023-12-31,2024-02-13,47214494669,1142,2024-04-04 03:42:30.223997
1741129,"Greenhaven Road Investment Management, L.P.",0001741129-24-000002,2023-12-31,2024-02-14,2268853,21,2024-04-04 03:42:30.223997
1758720,Walleye Capital LLC,0001172661-24-001462,2023-12-31,2024-02-14,47185345655,4870,2024-04-04 03:42:30.223997
1388391,Walleye Trading LLC,0001172661-24-001466,2023-12-31,2024-02-14,46501958050,5012,2024-04-04 03:42:30.223997
1835700,"Wolfswood Holdings, LLC",0001835700-24-000001,2023-12-31,2024-02-14,3244621,3,2024-04-04 03:42:30.223997
1999898,Kampmann Melissa S.,0001999898-24-000002,2023-12-31,2024-02-22,116772285,68,2024-04-04 03:42:30.223997
900169,SPEECE THORSON CAPITAL GROUP INC,0000900169-24-000001,2023-12-31,2024-02-23,487728,41,2024-04-04 03:42:30.223997
2001471,Savoie Capital LLC,0002001471-24-000001,2023-12-31,2024-02-15,437847077,61,2024-04-04 03:42:30.223997
1632407,Willow Creek Wealth Management Inc.,0001580642-24-001890,2023-12-31,2024-04-01,797756104,145,2024-04-04 03:42:30.223997
1713506,"Cruiser Capital Advisors, LLC",0000897069-24-000370,2023-12-31,2024-02-14,64771542,47,2024-04-04 03:42:30.223997
1080576,"SILVER OAK SECURITIES, INCORPORATED",0001080576-24-000001,2023-12-31,2024-02-05,744985026,492,2024-04-04 03:42:30.223997
1922879,Asset Allocation Strategies LLC,0001172661-24-000993,2023-12-31,2024-02-14,256082450,67,2024-04-04 03:42:30.223997
1921093,Athena Investment Management,0001921093-24-000001,2023-12-31,2024-02-13,154219124,139,2024-04-04 03:42:30.223997
1479844,Diversified Trust Co,0001479844-24-000001,2023-12-31,2024-01-08,2974748125,1070,2024-04-04 03:42:30.223997
1616328,"Garde Capital, Inc.",0001616328-24-000001,2023-12-31,2024-02-21,1310666,283,2024-04-04 03:42:30.223997
1967456,"Granite Harbor Advisors, Inc.",0001172661-24-000283,2023-12-31,2024-01-19,133179127,76,2024-04-04 03:42:30.223997
884414,"JACOBS LEVY EQUITY MANAGEMENT, INC",0001085146-24-001421,2023-12-31,2024-02-14,19849193192,963,2024-04-04 03:42:30.223997
1977723,"National Wealth Management Group, LLC",0001977723-24-000001,2023-12-31,2024-02-01,103355504,133,2024-04-04 03:42:30.223997
707179,OLD NATIONAL BANCORP /IN/,0000950123-24-000579,2023-12-31,2024-02-01,3800590585,1070,2024-04-04 03:42:30.223997
1705655,Seelaus Asset Management LLC,0001705655-24-000001,2023-12-31,2024-01-26,102855721,184,2024-04-04 03:42:30.223997
1848237,"SkyView Investment Advisors, LLC",0001848237-24-000002,2023-12-31,2024-02-15,399755,170,2024-04-04 03:42:30.223997
1749283,Spartan Planning & Wealth Management,0001749283-24-000001,2023-12-31,2024-03-12,93831536,193,2024-04-04 03:42:30.223997
1313816,"TimesSquare Capital Management, LLC",0000950123-24-000894,2023-12-31,2024-02-07,6800287,158,2024-04-04 03:42:30.223997
1546790,DYNAMO INTERNACIONAL GESTAO DE RECURSOS LTDA.,0000947871-24-000138,2023-12-31,2024-02-14,729885973,24,2024-04-04 03:42:30.223997
1512920,SPROTT INC.,0001512920-24-000001,2023-12-31,2024-02-14,1110434005,135,2024-04-04 03:42:30.223997
1764581,CM WEALTH ADVISORS LLC,0001764581-24-000001,2023-12-31,2024-02-05,232617088,75,2024-04-04 03:42:30.223997
1730383,Chesapeake Wealth Management,0001730383-24-000001,2023-12-31,2024-02-12,258982104,253,2024-04-04 03:42:30.223997
1540235,Creative Planning,0001540235-24-000002,2023-12-31,2024-02-14,53924348387,4406,2024-04-04 03:42:30.223997
1993404,Disciplina Capital Management LLC,0001398344-24-002120,2023-12-31,2024-02-06,530426771,58,2024-04-04 03:42:30.223997
1398739,Employees Retirement System of Texas,0001398739-24-000003,2023-12-31,2024-02-15,8528451,340,2024-04-04 03:42:30.223997
1741736,"Financial Gravity Asset Management, Inc.",0001683168-24-001029,2023-12-31,2024-02-15,9075039134,57510,2024-04-04 03:42:30.223997
1456511,"Greenwich Investment Management, Inc.",0001456511-24-000001,2023-12-31,2024-02-14,133211000,40,2024-04-04 03:42:30.223997
1127761,IRONWOOD INVESTMENT MANAGEMENT LLC,0000909012-24-000027,2023-12-31,2024-02-14,190305517,168,2024-04-04 03:42:30.223997
1660177,Integrated Advisors Network LLC,0001085146-24-001541,2023-12-31,2024-02-26,1768999724,661,2024-04-04 03:42:30.223997
1960212,JDM Financial Group LLC,0001095449-24-000006,2023-12-31,2024-02-05,120533337,210,2024-04-04 03:42:30.223997
1908275,Laraway Financial Advisors Inc,0001908275-24-000001,2023-12-31,2024-02-07,105267755,109,2024-04-04 03:42:30.223997
1776588,"MONOGRAPH WEALTH ADVISORS, LLC",0001776588-24-000001,2023-12-31,2024-02-15,557235240,110,2024-04-04 03:42:30.223997
1843169,"McCarthy Asset Management, Inc.",0001095449-24-000007,2023-12-31,2024-02-05,156243558,36,2024-04-04 03:42:30.223997
1701714,"McIlrath & Eck, LLC",0001095449-24-000008,2023-12-31,2024-02-06,568921390,924,2024-04-04 03:42:30.223997
1864916,"Mezzasalma Advisors, LLC",0001085146-24-000231,2023-12-31,2024-01-12,183410110,95,2024-04-04 03:42:30.223997
1802994,"Mine & Arao Wealth Creation & Management, LLC.",0001095449-24-000009,2023-12-31,2024-02-06,184940291,320,2024-04-04 03:42:30.223997
1995674,"OLYMPUS WEALTH MANAGEMENT, LLC",0001995674-24-000001,2023-12-31,2024-02-14,199511029,25,2024-04-04 03:42:30.223997
1846758,Orion Capital Management LLC,0001095449-24-000010,2023-12-31,2024-02-06,170788406,518,2024-04-04 03:42:30.223997
1965328,"Owen LaRue, LLC",0001911169-24-000004,2023-12-31,2024-02-05,105120077,74,2024-04-04 03:42:30.223997
1967332,"PANORAMIC INVESTMENT ADVISORS, LLC",0001986152-24-000002,2023-12-31,2024-01-23,115669103,103,2024-04-04 03:42:30.223997
749044,RESOURCES MANAGEMENT CORP /CT/ /ADV,0000749044-24-000001,2023-12-31,2024-02-14,676484,454,2024-04-04 03:42:30.223997
1689007,"Ranger Global Real Estate Advisors, LLC",0001398344-24-003120,2023-12-31,2024-02-14,487759571,29,2024-04-04 03:42:30.223997
1894830,Schubert & Co,0001894830-24-000001,2023-12-31,2024-02-12,110472644,32,2024-04-04 03:42:30.223997
1513227,"Smart Portfolios, LLC",0001513227-24-000001,2023-12-31,2024-02-14,84192370,85,2024-04-04 03:42:30.223997
1966210,Strait & Sound Wealth Management LLC,0001095449-24-000012,2023-12-31,2024-02-08,160229828,127,2024-04-04 03:42:30.223997
1768824,TLS Advisors LLC,0001768824-24-000001,2023-12-31,2024-02-14,30138,15,2024-04-04 03:42:30.223997
1661462,"Tamarack Advisers, LP",0001095449-24-000013,2023-12-31,2024-02-09,2120279,1,2024-04-04 03:42:30.223997
1526246,"Titan Capital Management, LLC /TX",0001095449-24-000014,2023-12-31,2024-02-09,71787317,5,2024-04-04 03:42:30.223997
1847794,"Twin Lakes Capital Management, LLC",0001095449-24-000015,2023-12-31,2024-02-09,146146111,246,2024-04-04 03:42:30.223997
1910387,"Unconventional Investor, LLC",0001095449-24-000016,2023-12-31,2024-02-12,126271024,32,2024-04-04 03:42:30.223997
1903579,"Wilson & Boucher Capital Management, LLC",0001095449-24-000017,2023-12-31,2024-02-12,118742292,105,2024-04-04 03:42:30.223997
1800234,"ATTICUS WEALTH MANAGEMENT, LLC",0001085146-24-000262,2023-12-31,2024-01-17,283429709,563,2024-04-04 03:42:30.223997
1671176,"Atairos Partners GP, Inc.",0000950103-24-002203,2023-12-31,2024-02-14,15398495,1,2024-04-04 03:42:30.223997
1067983,BERKSHIRE HATHAWAY INC,0000950123-24-002518,2023-12-31,2024-02-14,347358074461,138,2024-04-04 03:42:30.223997
945631,EAGLE CAPITAL MANAGEMENT LLC,0001172661-24-001438,2023-12-31,2024-02-14,23550655657,49,2024-04-04 03:42:30.223997
1998597,"JANA Partners Management, LP",0000902664-24-001588,2023-12-31,2024-02-14,1549058819,8,2024-04-04 03:42:30.223997
1541536,Minerva Advisors LLC,0001462390-24-000021,2023-12-31,2024-02-09,160011637,111,2024-04-04 03:42:30.223997
1843303,R.P. Boggs & Co.,0001843303-24-000002,2023-12-31,2024-02-14,142283673,18,2024-04-04 03:42:30.223997
1599383,WINDACRE PARTNERSHIP LLC,0001214659-24-002841,2023-12-31,2024-02-14,6590732395,13,2024-04-04 03:42:30.223997
1357550,Weiss Asset Management LP,0001357550-24-000015,2023-12-31,2024-02-12,2093573025,374,2024-04-04 03:42:30.223997
1978521,"3Chopt Investment Partners, LLC",0001213900-24-012451,2023-12-31,2024-02-12,271734504,165,2024-04-04 03:42:30.223997
1549408,"ALETHEA CAPITAL MANAGEMENT, LLC",0001549408-24-000002,2023-12-31,2024-02-15,86673728,35,2024-04-04 03:42:30.223997
897070,ASHFORD CAPITAL MANAGEMENT INC,0000897070-24-000003,2023-12-31,2024-02-15,746437277,93,2024-04-04 03:42:30.223997
1698926,Adalta Capital Management LLC,0001698926-24-000001,2023-12-31,2024-02-14,165380740,121,2024-04-04 03:42:30.223997
1804717,"Adaptive Financial Consulting, LLC",0001085146-24-000848,2023-12-31,2024-02-08,187886431,18,2024-04-04 03:42:30.223997
1067926,Adelante Capital Management LLC,0001067926-24-000003,2023-12-31,2024-02-15,1443160,44,2024-04-04 03:42:30.223997
1345576,"Advisors Capital Management, LLC",0001345576-24-000003,2023-12-31,2024-02-14,4911617,459,2024-04-04 03:42:30.223997
1728201,Aequim Alternative Investments LP,0001420506-24-000464,2023-12-31,2024-02-14,2512396298,103,2024-04-04 03:42:30.223997
1926959,"Alpha Square Group S, LLC",0001085146-24-001506,2023-12-31,2024-02-14,85138062,21,2024-04-04 03:42:30.223997
1695078,"Ambassador Advisors, LLC",0001398344-24-003206,2023-12-31,2024-02-15,450564108,425,2024-04-04 03:42:30.223997
1905128,American Trust,0001905128-24-000003,2023-12-31,2024-02-21,1354071054,291,2024-04-04 03:42:30.223997
1811739,"Annandale Capital, LLC",0001811739-24-000002,2023-12-31,2024-02-14,530476,138,2024-04-04 03:42:30.223997
1378410,"Arrow Investment Advisors, LLC",0001085146-24-001386,2023-12-31,2024-02-14,115833456,48,2024-04-04 03:42:30.223997
1711889,BC Partners Advisors L.P.,0001213900-24-005891,2023-12-31,2024-01-24,1319688,4,2024-04-04 03:42:30.223997
1767040,"BROOKS, MOORE & ASSOCIATES, INC.",0001767040-24-000001,2023-12-31,2024-02-15,145487170,86,2024-04-04 03:42:30.223997
900974,BRYN MAWR TRUST Co,0000900974-23-000006,2023-09-30,2023-11-15,2272257529,653,2024-04-04 03:42:30.223997
1432529,"Baker Avenue Asset Management, LP",0001432529-24-000002,2023-12-31,2024-02-13,2275858829,404,2024-04-04 03:42:30.223997
1906798,"Barden Capital Management, Inc.",0001754960-24-000091,2023-12-31,2024-02-14,122782064,77,2024-04-04 03:42:30.223997
1908938,"Beaird Harris Wealth Management, LLC",0001908938-24-000001,2023-12-31,2024-02-27,953084598,602,2024-04-04 03:42:30.223997
1721242,Belpointe Asset Management LLC,0001721242-24-000006,2023-12-31,2024-02-13,1138578158,701,2024-04-04 03:42:30.223997
1794467,Blueprint Investment Partners LLC,0001794467-24-000001,2023-12-31,2024-02-13,363070615,136,2024-04-04 03:42:30.223997
